dataset_type,dataset_number,start_angle,dose_type,dose
pseudohelix,1,5,fwd,1.23
pseudohelix,2,6,fwd,1.74
pseudohelix,3,7,fwd,2.07
pseudohelix,4,8,fwd,2.37
pseudohelix,5,9,fwd,2.75
pseudohelix,6,10,fwd,2.99
pseudohelix,7,11,fwd,3.21
pseudohelix,8,12,fwd,3.41
pseudohelix,9,13,fwd,3.59
pseudohelix,10,14,fwd,3.85
pseudohelix,11,15,fwd,3.98
pseudohelix,12,16,fwd,4.11
pseudohelix,13,17,fwd,4.24
pseudohelix,14,18,fwd,4.42
pseudohelix,15,19,fwd,4.53
pseudohelix,16,20,fwd,4.64
pseudohelix,17,21,fwd,4.75
pseudohelix,18,22,fwd,4.84
pseudohelix,19,23,fwd,4.98
pseudohelix,20,24,fwd,5.06
pseudohelix,21,25,fwd,5.14
pseudohelix,22,26,fwd,5.21
pseudohelix,23,27,fwd,5.33
pseudohelix,24,28,fwd,5.41
pseudohelix,25,29,fwd,5.48
pseudohelix,26,30,fwd,5.55
pseudohelix,27,31,fwd,5.63
pseudohelix,28,32,fwd,5.71
pseudohelix,29,33,fwd,5.78
pseudohelix,30,34,fwd,5.84
pseudohelix,31,35,fwd,5.9
pseudohelix,32,36,fwd,5.99
pseudohelix,33,37,fwd,6.04
pseudohelix,34,38,fwd,6.1
pseudohelix,35,39,fwd,6.15
pseudohelix,36,40,fwd,6.2
pseudohelix,37,41,fwd,6.27
pseudohelix,38,42,fwd,6.32
pseudohelix,39,43,fwd,6.38
pseudohelix,40,44,fwd,6.43
pseudohelix,41,45,fwd,6.5
pseudohelix,42,46,fwd,6.55
pseudohelix,43,47,fwd,6.59
pseudohelix,44,48,fwd,6.64
pseudohelix,45,49,fwd,6.67
pseudohelix,46,50,fwd,6.74
pseudohelix,47,51,fwd,6.77
pseudohelix,48,52,fwd,6.82
pseudohelix,49,53,fwd,6.86
pseudohelix,50,54,fwd,6.93
pseudohelix,51,55,fwd,6.97
pseudohelix,52,56,fwd,7.02
pseudohelix,53,57,fwd,7.06
pseudohelix,54,58,fwd,7.11
pseudohelix,55,59,fwd,7.17
pseudohelix,56,60,fwd,7.2
pseudohelix,57,61,fwd,7.23
pseudohelix,58,62,fwd,7.26
pseudohelix,59,63,fwd,7.32
pseudohelix,60,64,fwd,7.36
pseudohelix,61,65,fwd,7.4
pseudohelix,62,66,fwd,7.45
pseudohelix,63,67,fwd,7.49
pseudohelix,64,68,fwd,7.55
pseudohelix,65,69,fwd,7.58
pseudohelix,66,70,fwd,7.61
pseudohelix,67,71,fwd,7.63
pseudohelix,68,72,fwd,7.69
pseudohelix,69,73,fwd,7.72
pseudohelix,70,74,fwd,7.75
pseudohelix,71,75,fwd,7.78
pseudohelix,72,76,fwd,7.83
pseudohelix,73,77,fwd,7.87
pseudohelix,74,78,fwd,7.91
pseudohelix,75,79,fwd,7.95
pseudohelix,76,80,fwd,7.98
pseudohelix,77,81,fwd,8.03
pseudohelix,78,82,fwd,8.06
pseudohelix,79,83,fwd,8.08
pseudohelix,80,84,fwd,8.11
pseudohelix,81,85,fwd,8.13
pseudohelix,82,86,fwd,8.18
pseudohelix,83,87,fwd,8.22
pseudohelix,84,88,fwd,8.25
pseudohelix,85,89,fwd,8.29
pseudohelix,86,90,fwd,8.34
pseudohelix,87,91,fwd,8.38
pseudohelix,88,92,fwd,8.41
pseudohelix,89,93,fwd,8.44
pseudohelix,90,94,fwd,8.46
pseudohelix,91,95,fwd,8.51
pseudohelix,92,96,fwd,8.53
pseudohelix,93,97,fwd,8.56
pseudohelix,94,98,fwd,8.6
pseudohelix,95,99,fwd,8.65
pseudohelix,96,100,fwd,8.69
pseudohelix,97,101,fwd,8.72
pseudohelix,98,102,fwd,8.77
pseudohelix,99,103,fwd,8.8
