dataset_type,dataset_number,start_angle,dose_type,dose
pseudohelix,1,5,fwd,1.23
pseudohelix,2,6,fwd,1.75
pseudohelix,3,7,fwd,2.07
pseudohelix,4,8,fwd,2.38
pseudohelix,5,9,fwd,2.76
pseudohelix,6,10,fwd,3
pseudohelix,7,11,fwd,3.22
pseudohelix,8,12,fwd,3.42
pseudohelix,9,13,fwd,3.6
pseudohelix,10,14,fwd,3.85
pseudohelix,11,15,fwd,3.99
pseudohelix,12,16,fwd,4.12
pseudohelix,13,17,fwd,4.26
pseudohelix,14,18,fwd,4.44
pseudohelix,15,19,fwd,4.55
pseudohelix,16,20,fwd,4.66
pseudohelix,17,21,fwd,4.77
pseudohelix,18,22,fwd,4.86
pseudohelix,19,23,fwd,4.99
pseudohelix,20,24,fwd,5.08
pseudohelix,21,25,fwd,5.16
pseudohelix,22,26,fwd,5.28
pseudohelix,23,27,fwd,5.35
pseudohelix,24,28,fwd,5.43
pseudohelix,25,29,fwd,5.49
pseudohelix,26,30,fwd,5.56
pseudohelix,27,31,fwd,5.66
pseudohelix,28,32,fwd,5.73
pseudohelix,29,33,fwd,5.8
pseudohelix,30,34,fwd,5.86
pseudohelix,31,35,fwd,5.95
pseudohelix,32,36,fwd,6.01
pseudohelix,33,37,fwd,6.07
pseudohelix,34,38,fwd,6.12
pseudohelix,35,39,fwd,6.17
pseudohelix,36,40,fwd,6.26
pseudohelix,37,41,fwd,6.29
pseudohelix,38,42,fwd,6.34
pseudohelix,39,43,fwd,6.42
pseudohelix,40,44,fwd,6.47
pseudohelix,41,45,fwd,6.51
pseudohelix,42,46,fwd,6.57
pseudohelix,43,47,fwd,6.62
pseudohelix,44,48,fwd,6.68
pseudohelix,45,49,fwd,6.73
pseudohelix,46,50,fwd,6.77
pseudohelix,47,51,fwd,6.8
pseudohelix,48,52,fwd,6.88
pseudohelix,49,53,fwd,6.92
pseudohelix,50,54,fwd,6.96
pseudohelix,51,55,fwd,7
pseudohelix,52,56,fwd,7.05
pseudohelix,53,57,fwd,7.09
pseudohelix,54,58,fwd,7.13
pseudohelix,55,59,fwd,7.18
pseudohelix,56,60,fwd,7.23
pseudohelix,57,61,fwd,7.28
pseudohelix,58,62,fwd,7.32
pseudohelix,59,63,fwd,7.36
pseudohelix,60,64,fwd,7.4
pseudohelix,61,65,fwd,7.46
pseudohelix,62,66,fwd,7.48
pseudohelix,63,67,fwd,7.5
pseudohelix,64,68,fwd,7.54
pseudohelix,65,69,fwd,7.6
pseudohelix,66,70,fwd,7.64
pseudohelix,67,71,fwd,7.69
pseudohelix,68,72,fwd,7.73
pseudohelix,69,73,fwd,7.76
pseudohelix,70,74,fwd,7.81
pseudohelix,71,75,fwd,7.85
pseudohelix,72,76,fwd,7.86
pseudohelix,73,77,fwd,7.93
pseudohelix,74,78,fwd,7.95
pseudohelix,75,79,fwd,7.98
pseudohelix,76,80,fwd,8.01
pseudohelix,77,81,fwd,8.06
pseudohelix,78,82,fwd,8.08
pseudohelix,79,83,fwd,8.12
pseudohelix,80,84,fwd,8.17
pseudohelix,81,85,fwd,8.2
pseudohelix,82,86,fwd,8.24
pseudohelix,83,87,fwd,8.27
pseudohelix,84,88,fwd,8.3
pseudohelix,85,89,fwd,8.32
pseudohelix,86,90,fwd,8.35
pseudohelix,87,91,fwd,8.4
pseudohelix,88,92,fwd,8.44
pseudohelix,89,93,fwd,8.47
pseudohelix,90,94,fwd,8.53
pseudohelix,91,95,fwd,8.57
pseudohelix,92,96,fwd,8.61
pseudohelix,93,97,fwd,8.64
pseudohelix,94,98,fwd,8.68
pseudohelix,95,99,fwd,8.73
pseudohelix,96,100,fwd,8.76
pseudohelix,97,101,fwd,8.77
pseudohelix,98,102,fwd,8.8
pseudohelix,99,103,fwd,8.86
pseudohelix,100,104,fwd,8.88
pseudohelix,101,105,fwd,8.91
pseudohelix,102,106,fwd,8.96
pseudohelix,103,107,fwd,8.99
pseudohelix,104,108,fwd,9.03
pseudohelix,105,109,fwd,9.08
pseudohelix,106,110,fwd,9.12
pseudohelix,107,111,fwd,9.16
pseudohelix,108,112,fwd,9.19
pseudohelix,109,113,fwd,9.22
pseudohelix,110,114,fwd,9.25
pseudohelix,111,115,fwd,9.27
pseudohelix,112,116,fwd,9.33
pseudohelix,113,117,fwd,9.37
pseudohelix,114,118,fwd,9.41
pseudohelix,115,119,fwd,9.45
pseudohelix,116,120,fwd,9.5
pseudohelix,117,121,fwd,9.54
pseudohelix,118,122,fwd,9.58
pseudohelix,119,123,fwd,9.63
pseudohelix,120,124,fwd,9.66
pseudohelix,121,125,fwd,9.73
pseudohelix,122,126,fwd,9.75
pseudohelix,123,127,fwd,9.78
pseudohelix,124,128,fwd,9.84
pseudohelix,125,129,fwd,9.89
pseudohelix,126,130,fwd,9.93
pseudohelix,127,131,fwd,9.99
pseudohelix,128,132,fwd,10.04
pseudohelix,129,133,fwd,10.1
pseudohelix,130,134,fwd,10.13
pseudohelix,131,135,fwd,10.19
pseudohelix,132,136,fwd,10.2
pseudohelix,133,137,fwd,10.29
pseudohelix,134,138,fwd,10.32
pseudohelix,135,139,fwd,10.37
pseudohelix,136,140,fwd,10.41
pseudohelix,137,141,fwd,10.48
pseudohelix,138,142,fwd,10.54
pseudohelix,139,143,fwd,10.59
pseudohelix,140,144,fwd,10.66
pseudohelix,141,145,fwd,10.73
pseudohelix,142,146,fwd,10.79
pseudohelix,143,147,fwd,10.85
pseudohelix,144,148,fwd,10.9
pseudohelix,145,149,fwd,10.95
pseudohelix,146,150,fwd,11.05
pseudohelix,147,151,fwd,11.09
pseudohelix,148,152,fwd,11.15
pseudohelix,149,153,fwd,11.22
pseudohelix,150,154,fwd,11.32
pseudohelix,151,155,fwd,11.39
pseudohelix,152,156,fwd,11.48
pseudohelix,153,157,fwd,11.55
pseudohelix,154,158,fwd,11.64
pseudohelix,155,159,fwd,11.75
pseudohelix,156,160,fwd,11.85
pseudohelix,157,161,fwd,11.91
pseudohelix,158,162,fwd,12.07
pseudohelix,159,163,fwd,12.16
pseudohelix,160,164,fwd,12.25
pseudohelix,161,165,fwd,12.35
pseudohelix,162,166,fwd,12.48
pseudohelix,163,167,fwd,12.62
pseudohelix,164,168,fwd,12.76
pseudohelix,165,169,fwd,12.91
pseudohelix,166,170,fwd,13.07
pseudohelix,167,171,fwd,13.3
pseudohelix,168,172,fwd,13.48
pseudohelix,169,173,fwd,13.66
pseudohelix,170,174,fwd,13.87
pseudohelix,171,175,fwd,14.1
pseudohelix,172,176,fwd,14.49
pseudohelix,173,177,fwd,14.78
pseudohelix,174,178,fwd,15.11
pseudohelix,175,179,fwd,15.67
pseudohelix,176,180,fwd,15.85
wedge,1,5,fwd,8.47
wedge,2,10,fwd,8.5
wedge,3,15,fwd,8.54
wedge,4,20,fwd,8.56
wedge,5,25,fwd,8.57
wedge,6,30,fwd,8.58
wedge,7,35,fwd,8.57
wedge,8,40,fwd,8.55
wedge,9,45,fwd,8.51
wedge,10,50,fwd,8.43
wedge,11,55,fwd,8.39
wedge,12,60,fwd,8.36
wedge,13,65,fwd,8.36
wedge,14,70,fwd,8.37
wedge,15,75,fwd,8.38
wedge,16,80,fwd,8.39
wedge,17,85,fwd,8.43
wedge,18,90,fwd,8.44
wedge,19,95,fwd,8.47
wedge,20,100,fwd,8.49
wedge,21,105,fwd,8.51
wedge,22,110,fwd,8.53
wedge,23,115,fwd,8.53
wedge,24,120,fwd,8.53
wedge,25,125,fwd,8.51
wedge,26,130,fwd,8.48
wedge,27,135,fwd,8.43
wedge,28,140,fwd,8.36
wedge,29,145,fwd,8.33
wedge,30,150,fwd,8.31
wedge,31,155,fwd,8.32
wedge,32,160,fwd,8.34
wedge,33,165,fwd,8.35
wedge,34,170,fwd,8.38
wedge,35,175,fwd,8.42
wedge,36,180,fwd,8.45
