dataset_type,dataset_number,start_angle,dose_type,dose
pseudohelix,1,5,ddwd,1.23
pseudohelix,2,6,ddwd,1.74
pseudohelix,3,7,ddwd,2.07
pseudohelix,4,8,ddwd,2.37
pseudohelix,5,9,ddwd,2.75
pseudohelix,6,10,ddwd,2.99
pseudohelix,7,11,ddwd,3.2
pseudohelix,8,12,ddwd,3.4
pseudohelix,9,13,ddwd,3.57
pseudohelix,10,14,ddwd,3.81
pseudohelix,11,15,ddwd,3.95
pseudohelix,12,16,ddwd,4.07
pseudohelix,13,17,ddwd,4.19
pseudohelix,14,18,ddwd,4.36
pseudohelix,15,19,ddwd,4.46
pseudohelix,16,20,ddwd,4.56
pseudohelix,17,21,ddwd,4.66
pseudohelix,18,22,ddwd,4.73
pseudohelix,19,23,ddwd,4.85
pseudohelix,20,24,ddwd,4.92
pseudohelix,21,25,ddwd,4.99
pseudohelix,22,26,ddwd,5.08
pseudohelix,23,27,ddwd,5.14
pseudohelix,24,28,ddwd,5.19
pseudohelix,25,29,ddwd,5.24
pseudohelix,26,30,ddwd,5.29
pseudohelix,27,31,ddwd,5.35
pseudohelix,28,32,ddwd,5.4
pseudohelix,29,33,ddwd,5.45
pseudohelix,30,34,ddwd,5.5
pseudohelix,31,35,ddwd,5.54
pseudohelix,32,36,ddwd,5.58
pseudohelix,33,37,ddwd,5.61
pseudohelix,34,38,ddwd,5.64
pseudohelix,35,39,ddwd,5.66
pseudohelix,36,40,ddwd,5.71
pseudohelix,37,41,ddwd,5.72
pseudohelix,38,42,ddwd,5.74
pseudohelix,39,43,ddwd,5.78
pseudohelix,40,44,ddwd,5.8
pseudohelix,41,45,ddwd,5.81
pseudohelix,42,46,ddwd,5.84
pseudohelix,43,47,ddwd,5.85
pseudohelix,44,48,ddwd,5.87
pseudohelix,45,49,ddwd,5.89
pseudohelix,46,50,ddwd,5.9
pseudohelix,47,51,ddwd,5.89
pseudohelix,48,52,ddwd,5.92
pseudohelix,49,53,ddwd,5.93
pseudohelix,50,54,ddwd,5.93
pseudohelix,51,55,ddwd,5.93
pseudohelix,52,56,ddwd,5.95
pseudohelix,53,57,ddwd,5.94
pseudohelix,54,58,ddwd,5.95
pseudohelix,55,59,ddwd,5.95
pseudohelix,56,60,ddwd,5.95
pseudohelix,57,61,ddwd,5.96
pseudohelix,58,62,ddwd,5.96
pseudohelix,59,63,ddwd,5.96
pseudohelix,60,64,ddwd,5.96
pseudohelix,61,65,ddwd,5.96
pseudohelix,62,66,ddwd,5.94
pseudohelix,63,67,ddwd,5.93
pseudohelix,64,68,ddwd,5.93
pseudohelix,65,69,ddwd,5.92
pseudohelix,66,70,ddwd,5.93
pseudohelix,67,71,ddwd,5.93
pseudohelix,68,72,ddwd,5.92
pseudohelix,69,73,ddwd,5.92
pseudohelix,70,74,ddwd,5.91
pseudohelix,71,75,ddwd,5.9
pseudohelix,72,76,ddwd,5.87
pseudohelix,73,77,ddwd,5.88
pseudohelix,74,78,ddwd,5.86
pseudohelix,75,79,ddwd,5.85
pseudohelix,76,80,ddwd,5.84
pseudohelix,77,81,ddwd,5.85
pseudohelix,78,82,ddwd,5.81
pseudohelix,79,83,ddwd,5.81
pseudohelix,80,84,ddwd,5.81
pseudohelix,81,85,ddwd,5.79
