dataset_number,start_angle,ddwd,weight,sampled,sample_type
1,5,1.22,1.22,TRUE,deterministic
2,6,1.74,0.52,TRUE,random
3,7,2.07,0.32999999999999985,TRUE,random
4,8,2.37,0.30000000000000027,TRUE,random
5,9,2.74,0.3700000000000001,TRUE,random
6,10,2.98,0.23999999999999977,TRUE,random
7,11,3.2,0.2200000000000002,FALSE,none
8,12,3.39,0.18999999999999995,TRUE,random
9,13,3.56,0.16999999999999993,TRUE,random
10,14,3.81,0.25,TRUE,random
11,15,3.94,0.1299999999999999,TRUE,random
12,16,4.06,0.11999999999999966,FALSE,none
13,17,4.18,0.1200000000000001,TRUE,random
14,18,4.34,0.16000000000000014,FALSE,none
15,19,4.44,0.10000000000000053,TRUE,random
16,20,4.54,0.09999999999999964,FALSE,none
17,21,4.64,0.09999999999999964,FALSE,none
18,22,4.72,0.08000000000000007,FALSE,none
19,23,4.83,0.11000000000000032,FALSE,none
20,24,4.9,0.07000000000000028,TRUE,random
21,25,4.97,0.0699999999999994,FALSE,none
22,26,5.02,0.04999999999999982,FALSE,none
23,27,5.12,0.10000000000000053,TRUE,random
24,28,5.17,0.04999999999999982,FALSE,none
25,29,5.22,0.04999999999999982,FALSE,none
26,30,5.27,0.04999999999999982,TRUE,deterministic
27,31,5.33,0.0600000000000005,TRUE,random
28,32,5.39,0.05999999999999961,FALSE,none
29,33,5.43,0.040000000000000036,FALSE,none
30,34,5.48,0.05000000000000071,FALSE,none
31,35,5.51,0.02999999999999936,FALSE,none
32,36,5.56,0.04999999999999982,TRUE,random
33,37,5.59,0.03000000000000025,FALSE,none
34,38,5.62,0.03000000000000025,FALSE,none
35,39,5.64,0.019999999999999574,FALSE,none
36,40,5.66,0.020000000000000462,FALSE,none
37,41,5.7,0.040000000000000036,TRUE,random
38,42,5.72,0.019999999999999574,FALSE,none
39,43,5.75,0.03000000000000025,FALSE,none
40,44,5.77,0.019999999999999574,FALSE,none
41,45,5.79,0.020000000000000462,FALSE,none
42,46,5.82,0.03000000000000025,FALSE,none
43,47,5.83,0.009999999999999787,FALSE,none
44,48,5.84,0.009999999999999787,FALSE,none
45,49,5.85,0.009999999999999787,FALSE,none
46,50,5.87,0.020000000000000462,FALSE,none
47,51,5.87,0,FALSE,none
48,52,5.88,0.009999999999999787,FALSE,none
49,53,5.89,0.009999999999999787,FALSE,none
50,54,5.9,0.010000000000000675,FALSE,none
51,55,5.91,0.009999999999999787,TRUE,deterministic
52,56,5.92,0.009999999999999787,FALSE,none
53,57,5.92,0,FALSE,none
54,58,5.93,0.009999999999999787,FALSE,none
55,59,5.94,0.010000000000000675,FALSE,none
56,60,5.93,0.010000000000000675,FALSE,none
57,61,5.92,0.009999999999999787,FALSE,none
58,62,5.92,0,FALSE,none
59,63,5.92,0,FALSE,none
60,64,5.92,0,FALSE,none
61,65,5.92,0,FALSE,none
62,66,5.93,0.009999999999999787,FALSE,none
63,67,5.93,0,FALSE,none
64,68,5.92,0.009999999999999787,FALSE,none
65,69,5.91,0.009999999999999787,FALSE,none
66,70,5.91,0,FALSE,none
67,71,5.88,0.03000000000000025,FALSE,none
68,72,5.88,0,FALSE,none
69,73,5.88,0,FALSE,none
70,74,5.87,0.009999999999999787,FALSE,none
71,75,5.86,0.009999999999999787,FALSE,none
72,76,5.87,0.009999999999999787,FALSE,none
73,77,5.84,0.03000000000000025,FALSE,none
74,78,5.83,0.009999999999999787,FALSE,none
75,79,5.83,0,FALSE,none
76,80,5.82,0.009999999999999787,TRUE,deterministic
77,81,5.81,0.010000000000000675,TRUE,random
78,82,5.8,0.009999999999999787,FALSE,none
79,83,5.78,0.019999999999999574,FALSE,none
80,84,5.77,0.010000000000000675,FALSE,none
81,85,5.76,0.009999999999999787,FALSE,none
82,86,5.74,0.019999999999999574,FALSE,none
83,87,5.73,0.009999999999999787,FALSE,none
84,88,5.72,0.010000000000000675,FALSE,none
85,89,5.72,0,FALSE,none
86,90,5.69,0.02999999999999936,FALSE,none
87,91,5.69,0,FALSE,none
88,92,5.67,0.020000000000000462,FALSE,none
89,93,5.66,0.009999999999999787,FALSE,none
90,94,5.64,0.020000000000000462,FALSE,none
91,95,5.63,0.009999999999999787,FALSE,none
92,96,5.6,0.03000000000000025,TRUE,random
93,97,5.6,0,FALSE,none
94,98,5.59,0.009999999999999787,FALSE,none
95,99,5.57,0.019999999999999574,FALSE,none
96,100,5.56,0.010000000000000675,FALSE,none
97,101,5.55,0.009999999999999787,FALSE,none
98,102,5.54,0.009999999999999787,FALSE,none
99,103,5.53,0.009999999999999787,FALSE,none
100,104,5.52,0.010000000000000675,FALSE,none
101,105,5.51,0.009999999999999787,TRUE,deterministic
102,106,5.48,0.02999999999999936,FALSE,none
103,107,5.47,0.010000000000000675,FALSE,none
104,108,5.46,0.009999999999999787,FALSE,none
105,109,5.45,0.009999999999999787,FALSE,none
106,110,5.45,0,FALSE,none
107,111,5.45,0,FALSE,none
108,112,5.44,0.009999999999999787,FALSE,none
109,113,5.43,0.010000000000000675,FALSE,none
110,114,5.41,0.019999999999999574,FALSE,none
111,115,5.41,0,FALSE,none
112,116,5.38,0.03000000000000025,FALSE,none
113,117,5.38,0,FALSE,none
114,118,5.37,0.009999999999999787,FALSE,none
115,119,5.37,0,FALSE,none
116,120,5.36,0.009999999999999787,FALSE,none
117,121,5.37,0.009999999999999787,FALSE,none
118,122,5.35,0.020000000000000462,TRUE,random
119,123,5.35,0,FALSE,none
120,124,5.36,0.010000000000000675,FALSE,none
121,125,5.35,0.010000000000000675,FALSE,none
122,126,5.34,0.009999999999999787,FALSE,none
123,127,5.34,0,FALSE,none
124,128,5.34,0,FALSE,none
125,129,5.33,0.009999999999999787,FALSE,none
126,130,5.33,0,TRUE,deterministic
127,131,5.33,0,FALSE,none
128,132,5.33,0,FALSE,none
129,133,5.33,0,FALSE,none
130,134,5.34,0.009999999999999787,FALSE,none
