dataset_number,start_angle,ddwd,weight
1,5,1.22,1.22
2,6,1.74,0.52
3,7,2.07,0.32999999999999985
4,8,2.37,0.30000000000000027
5,9,2.74,0.3700000000000001
6,10,2.98,0.23999999999999977
8,12,3.39,0.18999999999999995
9,13,3.56,0.16999999999999993
10,14,3.81,0.25
11,15,3.94,0.1299999999999999
13,17,4.18,0.1200000000000001
15,19,4.44,0.10000000000000053
20,24,4.9,0.07000000000000028
23,27,5.12,0.10000000000000053
26,30,5.27,0.04999999999999982
27,31,5.33,0.0600000000000005
32,36,5.56,0.04999999999999982
37,41,5.7,0.040000000000000036
51,55,5.91,0.009999999999999787
76,80,5.82,0.009999999999999787
77,81,5.81,0.010000000000000675
92,96,5.6,0.03000000000000025
101,105,5.51,0.009999999999999787
118,122,5.35,0.020000000000000462
126,130,5.33,0
149,153,5.51,0.02999999999999936
151,155,5.55,0.019999999999999574
166,170,6.26,0.08000000000000007
167,171,6.41,0.15000000000000036
168,172,6.53,0.1200000000000001
169,173,6.66,0.1299999999999999
171,175,6.99,0.1800000000000006
173,177,7.54,0.25
174,178,7.82,0.28000000000000025
175,179,8.13,0.3100000000000005
176,180,8.65,0.5199999999999996
