Dataset,Dose,Molecule,CO2,Ax,Eq,Oxy,Glu
Pseudohelix 1,1.048016786570376,A,0.22,0.52,0.73,0.52,NA
Pseudohelix 2,1.5762483882581981,A,0.42,0.41,0.59,0.44,NA
Pseudohelix 3,1.9143287245498006,A,0.28,0.41,0.59,0.4,NA
Pseudohelix 4,2.2296437845120387,A,0.4,0.38,0.55,0.41,NA
Pseudohelix 5,2.5163120182491703,A,0.32,0.43,0.55,0.43,NA
Pseudohelix 6,2.8686873107383093,A,0.36,0.41,0.52,0.46,NA
Pseudohelix 7,3.0855108634965793,A,0.33,0.41,0.57,0.4,NA
Pseudohelix 8,3.283965228200866,A,0.37,0.41,0.6,0.44,NA
Pseudohelix 9,3.4669005913397015,A,0.47,0.42,0.56,0.43,NA
Pseudohelix 10,3.7163269249429303,A,0.42,0.42,0.57,0.4,NA
Pseudohelix 11,3.952653345212057,A,0.29,0.41,0.55,0.41,NA
Pseudohelix 12,4.181805174250567,A,0.28,0.41,0.58,0.41,NA
Pseudohelix 13,4.4881992613662876,A,0.38,0.46,0.6,0.4,NA
Pseudohelix 14,4.772812870664397,A,0.47,0.41,0.61,0.41,NA
Pseudohelix 15,4.99031575988102,A,0.37,0.46,0.6,0.4,NA
Pseudohelix 16,5.151027074046368,A,0.43,0.45,0.64,0.38,NA
Pseudohelix 17,5.066358207973212,A,0.4,0.4,0.61,0.45,NA
Pseudohelix 18,4.917434292155112,A,0.31,0.42,0.61,0.37,NA
Pseudohelix 19,4.77390022491485,A,0.47,0.43,0.57,0.36,NA
Pseudohelix 20,4.6553662930586945,A,0.32,0.42,0.6,0.36,NA
Pseudohelix 21,4.58184018877264,A,0.45,0.43,0.57,0.46,NA
Pseudohelix 22,4.523378364367264,A,0.36,0.43,0.54,0.43,NA
Pseudohelix 23,4.496518739598613,A,0.37,0.39,0.6,0.41,NA
Pseudohelix 24,4.538346681381072,A,0.45,0.43,0.62,0.43,NA
Pseudohelix 25,4.626888791697397,A,0.44,0.38,0.57,0.44,NA
Pseudohelix 26,4.705187852255461,A,0.49,0.39,0.55,0.43,NA
Pseudohelix 27,4.8006462119146995,A,0.41,0.39,0.57,0.35,NA
Pseudohelix 28,4.990638345890229,A,0.44,0.39,0.57,0.32,NA
Pseudohelix 29,5.2530750525407655,A,0.33,0.36,0.57,0.39,NA
Pseudohelix 30,5.44262752043694,A,0.45,0.41,0.49,0.42,NA
Pseudohelix 31,5.6692377094679145,A,0.46,0.41,0.53,0.38,NA
Pseudohelix 32,5.826239109877544,A,0.33,0.42,0.55,0.41,NA
Pseudohelix 33,6.065833336508942,A,0.37,0.41,0.56,0.39,NA
Pseudohelix 34,6.27018725174226,A,0.63,0.36,0.55,0.41,NA
Pseudohelix 35,6.532004096865775,A,0.37,0.37,0.49,0.42,NA
Pseudohelix 36,6.812475231578751,A,0.38,0.31,0.5,0.39,NA
Pseudohelix 1,1.048016786570376,B,NA,0.55,0.72,0.45,0.59
Pseudohelix 2,1.5762483882581981,B,NA,0.4,0.55,0.5,0.52
Pseudohelix 3,1.9143287245498006,B,NA,0.37,0.53,0.45,0.45
Pseudohelix 4,2.2296437845120387,B,NA,0.36,0.53,0.67,0.45
Pseudohelix 5,2.5163120182491703,B,NA,0.37,0.55,0.54,0.47
Pseudohelix 6,2.8686873107383093,B,NA,0.38,0.52,0.6,0.45
Pseudohelix 7,3.0855108634965793,B,NA,0.38,0.49,0.65,0.45
Pseudohelix 8,3.283965228200866,B,NA,0.37,0.54,0.65,0.43
Pseudohelix 9,3.4669005913397015,B,NA,0.38,0.47,0.54,0.46
Pseudohelix 10,3.7163269249429303,B,NA,0.38,0.47,0.73,0.43
Pseudohelix 11,3.952653345212057,B,NA,0.41,0.51,0.61,0.44
Pseudohelix 12,4.181805174250567,B,NA,0.38,0.53,0.48,0.48
Pseudohelix 13,4.4881992613662876,B,NA,0.37,0.49,0.59,0.45
Pseudohelix 14,4.772812870664397,B,NA,0.41,0.44,0.62,0.41
Pseudohelix 15,4.99031575988102,B,NA,0.36,0.46,0.68,0.42
Pseudohelix 16,5.151027074046368,B,NA,0.4,0.5,0.66,0.38
Pseudohelix 17,5.066358207973212,B,NA,0.4,0.5,0.66,0.4
Pseudohelix 18,4.917434292155112,B,NA,0.4,0.46,0.71,0.45
Pseudohelix 19,4.77390022491485,B,NA,0.42,0.52,0.68,0.42
Pseudohelix 20,4.6553662930586945,B,NA,0.41,0.5,0.61,0.46
Pseudohelix 21,4.58184018877264,B,NA,0.44,0.55,0.6,0.43
Pseudohelix 22,4.523378364367264,B,NA,0.4,0.5,0.59,0.44
Pseudohelix 23,4.496518739598613,B,NA,0.37,0.52,0.42,0.38
Pseudohelix 24,4.538346681381072,B,NA,0.36,0.47,0.71,0.44
Pseudohelix 25,4.626888791697397,B,NA,0.39,0.5,0.61,0.41
Pseudohelix 26,4.705187852255461,B,NA,0.37,0.53,0.53,0.47
Pseudohelix 27,4.8006462119146995,B,NA,0.34,0.5,0.51,0.48
Pseudohelix 28,4.990638345890229,B,NA,0.35,0.51,0.6,0.41
Pseudohelix 29,5.2530750525407655,B,NA,0.4,0.59,0.63,0.42
Pseudohelix 30,5.44262752043694,B,NA,0.39,0.55,0.37,0.44
Pseudohelix 31,5.6692377094679145,B,NA,0.43,0.54,0.55,0.45
Pseudohelix 32,5.826239109877544,B,NA,0.34,0.55,0.72,0.47
Pseudohelix 33,6.065833336508942,B,NA,0.36,0.54,0.33,0.47
Pseudohelix 34,6.27018725174226,B,NA,0.46,0.52,0.55,0.44
Pseudohelix 35,6.532004096865775,B,NA,0.4,0.49,0.57,0.37
Pseudohelix 36,6.812475231578751,B,NA,0.33,0.41,0.57,0.36
Wedge 1,4.670747883029511,A,0.22,0.52,0.73,0.52,NA
Wedge 2,4.676628887776135,A,0.42,0.41,0.59,0.44,NA
Wedge 3,4.6873990498758635,A,0.28,0.41,0.59,0.4,NA
Wedge 4,4.700878020606142,A,0.4,0.38,0.55,0.41,NA
Wedge 5,4.702559629831266,A,0.32,0.43,0.55,0.43,NA
Wedge 6,4.712191523937694,A,0.36,0.41,0.52,0.46,NA
Wedge 7,4.710902731088017,A,0.33,0.41,0.57,0.4,NA
Wedge 8,4.713160789223748,A,0.37,0.41,0.6,0.44,NA
Wedge 9,4.70650378668778,A,0.47,0.42,0.56,0.43,NA
Wedge 10,4.680681198160031,A,0.42,0.42,0.57,0.4,NA
Wedge 11,4.6661284007988355,A,0.29,0.41,0.55,0.41,NA
Wedge 12,4.657233752982563,A,0.28,0.41,0.58,0.41,NA
Wedge 13,4.653764615802972,A,0.38,0.46,0.6,0.4,NA
Wedge 14,4.656758057351761,A,0.47,0.41,0.61,0.41,NA
Wedge 15,4.659187047254268,A,0.37,0.46,0.6,0.4,NA
Wedge 16,4.6608513952678825,A,0.43,0.45,0.64,0.38,NA
Wedge 17,4.6618461394367205,A,0.4,0.4,0.61,0.45,NA
Wedge 18,4.669707502657349,A,0.31,0.42,0.61,0.37,NA
Wedge 19,4.672996020346192,A,0.47,0.43,0.57,0.36,NA
Wedge 20,4.678792620156399,A,0.32,0.42,0.6,0.36,NA
Wedge 21,4.689309919326401,A,0.45,0.43,0.57,0.46,NA
Wedge 22,4.704185459244893,A,0.36,0.43,0.54,0.43,NA
Wedge 23,4.70476602159039,A,0.37,0.39,0.6,0.41,NA
Wedge 24,4.713675091935831,A,0.45,0.43,0.62,0.43,NA
Wedge 25,4.710866808419393,A,0.44,0.38,0.57,0.44,NA
Wedge 26,4.710026221467167,A,0.49,0.39,0.55,0.43,NA
Wedge 27,4.698042887162959,A,0.41,0.39,0.57,0.35,NA
Wedge 28,4.675714338593323,A,0.44,0.39,0.57,0.32,NA
Wedge 29,4.66495096800831,A,0.33,0.36,0.57,0.39,NA
Wedge 30,4.6574920004568305,A,0.45,0.41,0.49,0.42,NA
Wedge 31,4.655546423318583,A,0.46,0.41,0.53,0.38,NA
Wedge 32,4.658510314102942,A,0.33,0.42,0.55,0.41,NA
Wedge 33,4.661730910541357,A,0.37,0.41,0.56,0.39,NA
Wedge 34,4.662794459945343,A,0.63,0.36,0.55,0.41,NA
Wedge 35,4.662495560881832,A,0.37,0.37,0.49,0.42,NA
Wedge 36,4.670670458822234,A,0.38,0.31,0.5,0.39,NA
Wedge 1,4.670747883029511,B,NA,0.55,0.72,0.45,0.59
Wedge 2,4.676628887776135,B,NA,0.4,0.55,0.5,0.52
Wedge 3,4.6873990498758635,B,NA,0.37,0.53,0.45,0.45
Wedge 4,4.700878020606142,B,NA,0.36,0.53,0.67,0.45
Wedge 5,4.702559629831266,B,NA,0.37,0.55,0.54,0.47
Wedge 6,4.712191523937694,B,NA,0.38,0.52,0.6,0.45
Wedge 7,4.710902731088017,B,NA,0.38,0.49,0.65,0.45
Wedge 8,4.713160789223748,B,NA,0.37,0.54,0.65,0.43
Wedge 9,4.70650378668778,B,NA,0.38,0.47,0.54,0.46
Wedge 10,4.680681198160031,B,NA,0.38,0.47,0.73,0.43
Wedge 11,4.6661284007988355,B,NA,0.41,0.51,0.61,0.44
Wedge 12,4.657233752982563,B,NA,0.38,0.53,0.48,0.48
Wedge 13,4.653764615802972,B,NA,0.37,0.49,0.59,0.45
Wedge 14,4.656758057351761,B,NA,0.41,0.44,0.62,0.41
Wedge 15,4.659187047254268,B,NA,0.36,0.46,0.68,0.42
Wedge 16,4.6608513952678825,B,NA,0.4,0.5,0.66,0.38
Wedge 17,4.6618461394367205,B,NA,0.4,0.5,0.66,0.4
Wedge 18,4.669707502657349,B,NA,0.4,0.46,0.71,0.45
Wedge 19,4.672996020346192,B,NA,0.42,0.52,0.68,0.42
Wedge 20,4.678792620156399,B,NA,0.41,0.5,0.61,0.46
Wedge 21,4.689309919326401,B,NA,0.44,0.55,0.6,0.43
Wedge 22,4.704185459244893,B,NA,0.4,0.5,0.59,0.44
Wedge 23,4.70476602159039,B,NA,0.37,0.52,0.42,0.38
Wedge 24,4.713675091935831,B,NA,0.36,0.47,0.71,0.44
Wedge 25,4.710866808419393,B,NA,0.39,0.5,0.61,0.41
Wedge 26,4.710026221467167,B,NA,0.37,0.53,0.53,0.47
Wedge 27,4.698042887162959,B,NA,0.34,0.5,0.51,0.48
Wedge 28,4.675714338593323,B,NA,0.35,0.51,0.6,0.41
Wedge 29,4.66495096800831,B,NA,0.4,0.59,0.63,0.42
Wedge 30,4.6574920004568305,B,NA,0.39,0.55,0.37,0.44
Wedge 31,4.655546423318583,B,NA,0.43,0.54,0.55,0.45
Wedge 32,4.658510314102942,B,NA,0.34,0.55,0.72,0.47
Wedge 33,4.661730910541357,B,NA,0.36,0.54,0.33,0.47
Wedge 34,4.662794459945343,B,NA,0.46,0.52,0.55,0.44
Wedge 35,4.662495560881832,B,NA,0.4,0.49,0.57,0.37
Wedge 36,4.670670458822234,B,NA,0.33,0.41,0.57,0.36
