,wedge_1,wedge_2,wedge_3,wedge_4,wedge_5,wedge_6,wedge_7,wedge_8,wedge_9,wedge_10,wedge_11,wedge_12,wedge_13,wedge_14,wedge_15,wedge_16,wedge_17,wedge_18,wedge_19,wedge_20,wedge_21,wedge_22,wedge_23,wedge_24,wedge_25,wedge_26,wedge_27,wedge_28,wedge_29,wedge_30,wedge_31,wedge_32,wedge_33,wedge_34,wedge_35,wedge_36
Wavelength,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Resolution range,44.51  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.55  - 1.1 (1.11  - 1.1),44.56  - 1.1 (1.11  - 1.1),44.57  - 1.1 (1.11  - 1.1),44.58  - 1.1 (1.11  - 1.1),44.59  - 1.1 (1.11  - 1.1),44.59  - 1.1 (1.11  - 1.1),44.58  - 1.1 (1.11  - 1.1),44.58  - 1.1 (1.11  - 1.1),44.57  - 1.1 (1.11  - 1.1),44.55  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.48  - 1.1 (1.11  - 1.1),44.48  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),34.35  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.55  - 1.1 (1.11  - 1.1)
Space group,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1
Unit cell,67.482 42.261 69.521 90 98.93 90,67.49 42.262 69.521 90 98.94 90,67.496 42.263 69.52 90 98.96 90,67.498 42.263 69.519 90 98.97 90,67.501 42.262 69.518 90 98.97 90,67.497 42.262 69.519 90 98.98 90,67.499 42.258 69.527 90 98.98 90,67.502 42.253 69.542 90 98.98 90,67.506 42.239 69.553 90 98.98 90,67.51 42.223 69.565 90 98.97 90,67.522 42.208 69.582 90 98.98 90,67.542 42.193 69.604 90 98.98 90,67.569 42.176 69.636 90 98.99 90,67.592 42.155 69.666 90 99 90,67.616 42.136 69.698 90 99.01 90,67.63 42.12 69.721 90 99.02 90,67.643 42.116 69.736 90 99.02 90,67.64 42.116 69.734 90 99.01 90,67.626 42.127 69.722 90 99.01 90,67.614 42.148 69.708 90 99.01 90,67.599 42.173 69.689 90 99 90,67.579 42.193 69.657 90 98.99 90,67.558 42.21 69.626 90 98.99 90,67.543 42.225 69.599 90 98.99 90,67.536 42.239 69.575 90 98.99 90,67.525 42.248 69.549 90 98.99 90,67.519 42.255 69.529 90 98.99 90,67.512 42.262 69.518 90 98.99 90,67.51 42.269 69.514 90 98.99 90,67.511 42.269 69.516 90 99 90,67.507 42.257 69.525 90 99 90,67.513 42.245 69.552 90 99 90,67.525 42.227 69.584 90 99 90,67.527 42.206 69.613 90 98.99 90,67.526 42.19 69.641 90 98.98 90,67.519 42.18 69.662 90 98.97 90
Total reflections,544003 (20223),542761 (20269),543280 (20270),542680 (19588),542675 (19594),539781 (20232),539796 (20196),540145 (20226),540893 (20202),542181 (19541),543869 (19500),545106 (19501),546843 (20240),547781 (20192),548859 (19483),549493 (19500),547588 (19524),545304 (20255),544115 (20250),540425 (20217),540697 (20229),540822 (20203),541890 (20189),540671 (20186),540764 (20185),539594 (20206),540835 (20250),540709 (20262),541453 (20300),540643 (20302),538491 (20225),537787 (20215),539062 (20219),538466 (20207),538392 (20229),539759 (20293)
Unique reflections,288376 (10281),288654 (10327),289004 (10352),289211 (10021),289517 (10036),289495 (10371),289577 (10352),289829 (10369),290035 (10363),290025 (10016),290457 (10006),290589 (10002),290851 (10377),291088 (10342),291123 (9974),290946 (9963),290537 (9957),289792 (10318),288944 (10288),288478 (10273),287971 (10249),287493 (10209),287100 (10181),286589 (10167),286133 (10142),285607 (10131),285325 (10137),284962 (10140),285173 (10171),285193 (10181),285204 (10158),285451 (10173),286131 (10190),286432 (10206),286778 (10252),287445 (10315)
Multiplicity,3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8)
Completeness (%),93.56 (89.53),93.64 (89.70),93.74 (89.86),93.81 (89.83),93.90 (89.95),93.91 (90.21),93.93 (90.26),94.01 (90.34),94.09 (90.43),94.10 (90.43),94.24 (90.37),94.26 (90.41),94.30 (90.32),94.36 (90.35),94.34 (90.38),94.26 (90.29),94.09 (90.11),93.86 (90.00),93.60 (89.80),93.43 (89.65),93.26 (89.26),93.13 (89.08),93.04 (88.75),92.89 (88.59),92.76 (88.43),92.61 (88.25),92.54 (88.22),92.42 (88.03),92.48 (88.08),92.48 (88.15),92.51 (88.44),92.58 (88.50),92.78 (88.70),92.89 (88.97),93.00 (89.33),93.21 (89.53)
Mean I/sigma(I),6.64 (1.40),6.52 (1.39),6.52 (1.36),6.48 (1.36),6.37 (1.31),6.12 (1.30),5.89 (1.21),5.87 (1.18),5.75 (1.10),5.62 (0.97),5.57 (0.89),5.51 (0.86),5.50 (0.81),5.34 (0.75),5.49 (0.76),5.40 (0.70),5.30 (0.69),5.39 (0.71),5.37 (0.71),5.48 (0.82),5.58 (0.88),5.85 (0.99),5.78 (0.94),5.99 (1.04),5.96 (1.07),5.85 (1.05),5.70 (1.03),5.59 (0.99),5.70 (1.01),5.61 (0.98),5.57 (1.03),5.49 (0.98),5.35 (0.96),5.24 (0.91),5.11 (0.89),5.19 (0.92)
Wilson B-factor,9.19,9.19,9.28,9.23,9.24,9.25,9.42,9.33,9.39,9.52,9.72,9.83,9.98,10.20,10.19,10.37,10.36,10.31,10.22,10.01,9.83,9.56,9.41,9.46,9.45,9.37,9.29,9.38,9.39,9.52,9.40,9.46,9.51,9.58,9.56,9.53
