Residue,Measurement,Estimate,Coefficient,StandardError,PValue,Significance
Oxy,Occupancies,TrendA,-0.008885173950178132,0.003095810229103032,0.0070168539607114505,**
Oxy,Occupancies,TrendB,9.195761231594393e-4,0.009297193281231391,0.9217906457633913, 
Oxy,Occupancies,Contrast,-0.009804750073337571,0.009799073623725514,0.32282600005284945, 
Glu,Occupancies,TrendA,NA,NA,NA,NA
Glu,Occupancies,TrendB,-0.01334549461693293,0.0032972182093935006,2.825403687269752e-4,***
Glu,Occupancies,Contrast,NA,NA,NA,NA
CO2,Occupancies,TrendA,0.01693042478333937,0.006744428438663719,0.016986203067043258,*
CO2,Occupancies,TrendB,NA,NA,NA,NA
CO2,Occupancies,Contrast,NA,NA,NA,NA
Ax,Occupancies,TrendA,-0.009533642546831849,0.0028560124332848184,0.002039030110677872,**
Ax,Occupancies,TrendB,-0.004179751868997498,0.0036976985484603883,0.26623887450776185, 
Ax,Occupancies,Contrast,-0.005353890677834351,0.004672235179693284,0.2561062124767972, 
Eq,Occupancies,TrendA,-0.011281946774950298,0.0037592744077031776,0.005008804235703966,**
Eq,Occupancies,TrendB,-0.010356624539407366,0.004483953687288638,0.027091579451516627,*
Eq,Occupancies,Contrast,-9.253222355429316e-4,0.005851323332560032,0.8748317143022079, 
CuTyr,Distances,TrendA,0.001263668678102625,7.378027614058976e-4,0.09590465586871436, 
CuTyr,Distances,TrendB,8.431657584015938e-4,0.0010128461647790554,0.4109334238314043, 
CuTyr,Distances,Contrast,4.205029197010311e-4,0.0012530803119695918,0.7383269996205519, 
CuNterm,Distances,TrendA,0.0017141640000313152,0.00124035848398017,0.1758582059375701, 
CuNterm,Distances,TrendB,-4.035868456487776e-5,0.0014385640114963994,0.977779076596268, 
CuNterm,Distances,Contrast,0.001754522684596193,0.0018994619195851754,0.35899907153149446, 
CuHis1ND1,Distances,TrendA,-0.0017858908012690683,0.0010542338056680894,0.09918093236744734, 
CuHis1ND1,Distances,TrendB,9.266606109163708e-4,0.0011037828531794867,0.40688344879452565, 
CuHis1ND1,Distances,Contrast,-0.002712551412185439,0.0015263503870299477,0.0799460225450037, 
CuHis84NE2,Distances,TrendA,-0.0019208583599823559,0.0010493469170043612,0.0756617068740288, 
CuHis84NE2,Distances,TrendB,-0.0021196161412035375,9.256045912083796e-4,0.028079835740015397,*
CuHis84NE2,Distances,Contrast,1.9875778122118177e-4,0.0013992400835784356,0.8874700551426855, 
CuEq,Distances,TrendA,0.0030269911817077054,0.0022922876543070973,0.1955329913236556, 
CuEq,Distances,TrendB,-0.0030005965496898803,0.0033376672535916367,0.37495913868647057, 
CuEq,Distances,Contrast,0.006027587731397586,0.00404902523896637,0.14181058345378858, 
CuAx,Distances,TrendA,-0.0019342491071936182,0.0023979439397250647,0.4254667249163189, 
CuAx,Distances,TrendB,0.005018404814462565,0.0032594417349129266,0.1328978365219304, 
CuAx,Distances,Contrast,-0.006952653921656183,0.004046491759704491,0.09074560192669355, 
T1,Angles,TrendA,0.10476294364528943,0.0307148152842744,0.001691608786294038,**
T1,Angles,TrendB,0.09028162257688899,0.048600464841456976,0.07187714353692932, 
T1,Angles,Contrast,0.014481321068400436,0.05749265223272269,0.802034382931798, 
T2,Angles,TrendA,0.09243707051941845,0.04772901568316262,0.061200409715265636, 
T2,Angles,TrendB,0.21800460901473745,0.055871270215432374,4.324440653579652e-4,***
T2,Angles,Contrast,-0.125567538495319,0.07348236369068051,0.0921488290090519, 
T3,Angles,TrendA,-0.1408584163630369,0.05853338997283561,0.026674043703363848,*
T3,Angles,TrendB,-0.3332549327504466,0.054829289903262246,8.729008894659957e-6,***
T3,Angles,Contrast,0.1923965163874097,0.08020229905063836,0.019238124584590847,*
TT,Angles,TrendA,-0.010016804627145248,0.04286563919693087,0.8166349545868994, 
TT,Angles,TrendB,0.14405726371919517,0.0532836515156284,0.010629449104217795,*
TT,Angles,Contrast,-0.1540740683463404,0.06838574809564041,0.02764105190351142,*
THH,Angles,TrendA,-0.12232952572000963,0.07887552224895401,0.13015645942958046, 
THH,Angles,TrendB,-0.1333831003899826,0.09995882043113978,0.19093408832211814, 
THH,Angles,Contrast,0.011053574669972987,0.1273307260327612,0.9310920126278697, 
TH1,Angles,TrendA,0.16322495058094716,0.08671405733367953,0.06834626284319406, 
TH1,Angles,TrendB,0.3379430643626935,0.08102953463997813,1.9980807506077993e-4,***
TH1,Angles,Contrast,-0.17471811378174634,0.11868071967779803,0.14560877004278508, 
THN,Angles,TrendA,-0.0844697048495886,0.028740842088971656,0.005885621727405459,**
THN,Angles,TrendB,-0.11398415557836714,0.04296355819937531,0.012037287594085067,*
THN,Angles,Contrast,0.029514450728778535,0.051690456925184106,0.5701652565500634, 
