Residue,Measurement,Estimate,Coefficient,StandardError,PValue,Significance
Oxy,Occupancies,TrendA,-0.001312741312741313,5.413132672397103e-4,0.02077187842570818,*
Oxy,Occupancies,TrendB,-9.266409266409314e-4,0.0015718685253105825,0.5594097845871998, 
Oxy,Occupancies,Contrast,-3.8610038610038154e-4,0.0016624652520133452,0.8174768702908053, 
Glu,Occupancies,TrendA,NA,NA,NA,NA
Glu,Occupancies,TrendB,-0.0017464607464607455,6.126633197219513e-4,0.007364385471248454,**
Glu,Occupancies,Contrast,NA,NA,NA,NA
CO2,Occupancies,TrendA,0.0029317889317889323,0.0011418007781948036,0.014806346770798177,*
CO2,Occupancies,TrendB,NA,NA,NA,NA
CO2,Occupancies,Contrast,NA,NA,NA,NA
Ax,Occupancies,TrendA,-0.0016975546975547034,4.773771374648301e-4,0.0011325261857930379,**
Ax,Occupancies,TrendB,-6.782496782496812e-4,6.292997116182691e-4,0.2886778948885768, 
Ax,Occupancies,Contrast,-0.0010193050193050223,7.898778756345517e-4,0.20156505062861177, 
Eq,Occupancies,TrendA,-0.0019523809523809656,6.355546706092412e-4,0.004163694399315568,**
Eq,Occupancies,TrendB,-9.845559845559886e-4,8.018606557751416e-4,0.22796669875659395, 
Eq,Occupancies,Contrast,-9.678249678249769e-4,0.001023186322530438,0.347740811918433, 
CuTyr,Distances,TrendA,-1.0180394971414247e-4,3.782427717971519e-4,0.7894428941237206, 
CuTyr,Distances,TrendB,7.05969236965265e-5,4.2930622422198e-4,0.8703575037633301, 
CuTyr,Distances,Contrast,-1.7240087341066897e-4,5.721638127079737e-4,0.7641114127314184, 
CuNterm,Distances,TrendA,8.830062184826388e-4,4.964076171924032e-4,0.08424043464409378, 
CuNterm,Distances,TrendB,-5.056432640833049e-4,6.128357949358018e-4,0.4150782669211188, 
CuNterm,Distances,Contrast,0.0013886494825659436,7.886623066694867e-4,0.08294730899145729, 
CuHis1ND1,Distances,TrendA,-1.2703732706612124e-5,1.1909333651281972e-4,0.915678318276864, 
CuHis1ND1,Distances,TrendB,-2.0496752244617025e-4,1.7465280634000363e-4,0.2487598227937045, 
CuHis1ND1,Distances,Contrast,1.9226378973955812e-4,2.1139258635106986e-4,0.3667177558663184, 
CuHis84NE2,Distances,TrendA,-4.040227808366073e-4,1.748705504535839e-4,0.027046917449370184,*
CuHis84NE2,Distances,TrendB,-3.831028380609348e-4,2.6343786058494455e-4,0.1550756137795413, 
CuHis84NE2,Distances,Contrast,-2.091994277567251e-5,3.1619490161214194e-4,0.9474737752100001, 
CuEq,Distances,TrendA,4.893147871256688e-4,1.6742485878468052e-4,0.006153304880681379,**
CuEq,Distances,TrendB,-3.7586567124518484e-4,1.3425588570331698e-4,0.008359269145833853,**
CuEq,Distances,Contrast,8.651804583708537e-4,2.1460597891263962e-4,1.4806997673187476e-4,***
CuAx,Distances,TrendA,2.3803009693344702e-4,1.9813012519122452e-4,0.23794434512028018, 
CuAx,Distances,TrendB,6.16902465871329e-4,1.6932084114824195e-4,8.870750391246402e-4,***
CuAx,Distances,Contrast,-3.78872368937882e-4,2.6062443046544675e-4,0.15080410334966465, 
T1,Angles,TrendA,-0.003409751040522661,0.007753669836114989,0.6628794422172563, 
T1,Angles,TrendB,0.00379535010625019,0.006151985826587984,0.5413412040713295, 
T1,Angles,Contrast,-0.007205101146772851,0.00989779397330632,0.4692654687645119, 
T2,Angles,TrendA,0.005034448903741162,0.007650928598111338,0.5149338323821712, 
T2,Angles,TrendB,-0.005650397170626107,0.00906827356102615,0.537391175017397, 
T2,Angles,Contrast,0.010684846074367269,0.011864665768196078,0.3710214383114695, 
T3,Angles,TrendA,0.003012217249352592,0.0064635448558926,0.6442240743257756, 
T3,Angles,TrendB,0.004236521892647246,0.007856869269413192,0.5933348079529931, 
T3,Angles,Contrast,-0.0012243046432946542,0.01017387865176232,0.9045827125666015, 
TT,Angles,TrendA,-0.006905954244532683,0.006262024209964991,0.27780163273100916, 
TT,Angles,TrendB,-0.006288196334503874,0.009383749557565043,0.5073351649674902, 
TT,Angles,Contrast,-6.177579100288094e-4,0.011281298815530498,0.9565137167920879, 
THH,Angles,TrendA,-0.016157023024000423,0.009662620236714296,0.1036911513799948, 
THH,Angles,TrendB,0.009344666654646006,0.011523700385501197,0.4230736331757312, 
THH,Angles,Contrast,-0.025501689678646428,0.015038680142012498,0.09466492846945154, 
TH1,Angles,TrendA,-0.014102119821652517,0.011877670258623478,0.24321412812305623, 
TH1,Angles,TrendB,-0.027822694875161626,0.0090514005691068,0.004116728466944258,**
TH1,Angles,Contrast,0.013720575053509107,0.014933415651987178,0.3616833991672944, 
THN,Angles,TrendA,-0.007579813197537175,0.005055519651229442,0.14305189034710397, 
THN,Angles,TrendB,-0.007622229217349756,0.008241032921486844,0.3615379898295902, 
THN,Angles,Contrast,4.241601981258045e-5,0.009668138525951987,0.9965150181505267, 
