,pseudohelix_1,pseudohelix_2,pseudohelix_3,pseudohelix_4,pseudohelix_5,pseudohelix_6,pseudohelix_7,pseudohelix_8,pseudohelix_9,pseudohelix_10,pseudohelix_11,pseudohelix_12,pseudohelix_13,pseudohelix_14,pseudohelix_15,pseudohelix_16,pseudohelix_17,pseudohelix_18,pseudohelix_19,pseudohelix_20,pseudohelix_21,pseudohelix_22,pseudohelix_23,pseudohelix_24,pseudohelix_25,pseudohelix_26,pseudohelix_27,pseudohelix_28,pseudohelix_29,pseudohelix_30,pseudohelix_31,pseudohelix_32,pseudohelix_33,pseudohelix_34,pseudohelix_35,pseudohelix_36
Wavelength,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Resolution range,44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),34.35  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1)
Space group,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1
Unit cell,67.559 42.209 69.553 90 98.93 90,67.574 42.217 69.551 90 98.94 90,67.577 42.219 69.551 90 98.95 90,67.569 42.224 69.558 90 98.97 90,67.564 42.224 69.55 90 98.98 90,67.563 42.223 69.563 90 98.99 90,67.558 42.226 69.565 90 98.99 90,67.557 42.226 69.564 90 99 90,67.551 42.227 69.577 90 98.99 90,67.538 42.229 69.577 90 98.99 90,67.519 42.231 69.581 90 99.01 90,67.529 42.228 69.564 90 99.02 90,67.519 42.225 69.556 90 99.01 90,67.516 42.226 69.56 90 99.01 90,67.515 42.222 69.559 90 99.02 90,67.509 42.219 69.551 90 99.01 90,67.506 42.219 69.56 90 99 90,67.498 42.222 69.564 90 99 90,67.49 42.222 69.565 90 98.99 90,67.485 42.226 69.571 90 98.99 90,67.483 42.232 69.583 90 98.98 90,67.482 42.232 69.593 90 98.97 90,67.484 42.234 69.592 90 98.96 90,67.484 42.23 69.595 90 98.96 90,67.486 42.227 69.6 90 98.95 90,67.487 42.226 69.59 90 98.94 90,67.489 42.221 69.585 90 98.93 90,67.493 42.223 69.581 90 98.93 90,67.5 42.224 69.585 90 98.92 90,67.504 42.221 69.574 90 98.92 90,67.504 42.217 69.561 90 98.93 90,67.517 42.222 69.558 90 98.93 90,67.527 42.217 69.541 90 98.93 90,67.534 42.212 69.526 90 98.94 90,67.542 42.219 69.516 90 98.95 90,67.539 42.216 69.515 90 98.95 90
Total reflections,543015 (20549),545233 (20573),546622 (20610),546832 (20575),546877 (20628),546558 (20615),548324 (20556),548681 (20602),548344 (20629),550157 (20636),549431 (20629),549297 (20611),549689 (20600),550311 (20628),548796 (19780),549404 (19769),550859 (20654),550663 (20608),550045 (20609),550085 (20594),549446 (20528),549270 (20527),549907 (20530),548506 (20531),548500 (20545),546585 (20551),547782 (20519),546842 (20514),546222 (20564),546634 (20540),545739 (20467),545666 (20558),545910 (20528),546097 (20555),548340 (20566),547719 (20563)
Unique reflections,287473 (10235),288121 (10279),288558 (10263),288749 (10237),289109 (10328),289470 (10298),289960 (10316),289963 (10278),290024 (10343),290164 (10343),289992 (10347),289793 (10359),289855 (10349),289523 (10354),289341 (9919),288991 (9899),288814 (10324),288428 (10285),287935 (10247),287374 (10229),287049 (10172),286555 (10155),286229 (10143),285665 (10124),285380 (10124),285042 (10111),284652 (10079),284329 (10089),284637 (10124),284961 (10131),285088 (10119),285606 (10160),286063 (10163),286312 (10183),286899 (10209),287288 (10218)
Multiplicity,3.6 (3.8),3.6 (3.8),3.6 (3.9),3.6 (3.9),3.6 (3.9),3.6 (3.9),3.6 (3.9),3.6 (3.9),3.6 (3.9),3.6 (3.9),3.6 (3.9),3.6 (3.9),3.6 (3.8),3.6 (3.9),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8)
Completeness (%),93.25 (89.33),93.43 (89.61),93.55 (89.30),93.61 (89.19),93.76 (89.87),93.86 (89.78),94.02 (90.10),94.02 (89.73),94.03 (90.19),94.08 (90.07),94.04 (90.08),94.00 (90.22),94.05 (90.12),93.94 (90.09),93.90 (89.99),93.81 (89.88),93.74 (89.88),93.62 (89.66),93.46 (89.47),93.27 (89.27),93.13 (88.92),92.96 (88.75),92.84 (88.60),92.67 (88.47),92.58 (88.30),92.48 (88.22),92.37 (88.06),92.25 (87.98),92.33 (88.11),92.45 (88.26),92.52 (88.38),92.66 (88.41),92.83 (88.50),92.93 (88.60),93.11 (88.88),93.25 (88.97)
Mean I/sigma(I),5.18 (0.91),5.30 (0.92),5.26 (0.87),5.14 (0.84),5.23 (0.86),5.23 (0.86),5.24 (0.88),5.19 (0.85),5.20 (0.83),5.24 (0.82),5.28 (0.85),5.29 (0.85),5.43 (0.90),5.51 (0.91),5.58 (0.99),5.67 (1.02),5.80 (1.03),5.68 (1.00),5.72 (1.01),5.64 (1.01),5.70 (0.98),5.72 (1.04),5.74 (1.00),5.67 (1.00),5.60 (0.98),5.62 (1.02),5.65 (0.98),5.54 (0.96),5.57 (1.00),5.53 (1.00),5.43 (0.92),5.44 (0.95),5.41 (0.93),5.28 (0.85),5.34 (0.85),5.24 (0.83)
Wilson B-factor,9.42,9.51,9.57,9.62,9.51,9.57,9.60,9.66,9.58,9.72,9.68,9.65,9.69,9.65,9.58,9.51,9.55,9.60,9.52,9.53,9.54,9.47,9.46,9.47,9.55,9.52,9.53,9.56,9.51,9.60,9.68,9.66,9.73,9.81,9.93,9.99
