                                                   Pseudohelix_1                     Pseudohelix_2                     Pseudohelix_3                     Pseudohelix_4                     Pseudohelix_5                     Pseudohelix_6                     Pseudohelix_7                     Pseudohelix_8                     Pseudohelix_9                    Pseudohelix_10                    Pseudohelix_11                    Pseudohelix_12                    Pseudohelix_13                    Pseudohelix_14                    Pseudohelix_15                    Pseudohelix_16                    Pseudohelix_17                    Pseudohelix_18                    Pseudohelix_19                    Pseudohelix_20                    Pseudohelix_21                    Pseudohelix_22                    Pseudohelix_23                    Pseudohelix_24                    Pseudohelix_25                    Pseudohelix_26                    Pseudohelix_27                    Pseudohelix_28                    Pseudohelix_29                    Pseudohelix_30                    Pseudohelix_31                    Pseudohelix_32                    Pseudohelix_33                    Pseudohelix_34                    Pseudohelix_35                    Pseudohelix_36
                    Wavelength                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1
              Resolution range        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)
                   Space group                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1                          P 1 21 1
                     Unit cell  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90  67.557 42.222 69.603 90 98.97 90
             Total reflections                    537688 (18885)                    543513 (19054)                    544411 (19110)                    543111 (19008)                    543264 (19009)                    543179 (19032)                    539497 (18966)                    540347 (18955)                    537826 (18897)                    539371 (18909)                    539634 (18922)                    538528 (18898)                    539539 (18921)                    541100 (18957)                    541389 (18932)                    541330 (18946)                    542256 (18937)                    542524 (18230)                    541928 (18921)                    542390 (18956)                    542994 (18974)                    543275 (18980)                    542666 (18979)                    543862 (18285)                    543088 (18960)                    543213 (18957)                    543504 (19010)                    545294 (19000)                    544746 (18994)                    545749 (18996)                    546389 (19092)                    546725 (19083)                    546514 (19153)                    546215 (19133)                    545820 (19148)                    545635 (19165)
            Unique reflections                    287332 (10148)                    287934 (10171)                    288265 (10190)                    288383 (10188)                    288597 (10195)                    288842 (10206)                    288629 (10211)                    288725 (10215)                    288329 (10188)                    288697 (10206)                    288638 (10200)                    288606 (10211)                    288676 (10209)                    287814 (10160)                    288476 (10173)                    288305 (10166)                    288158 (10138)                     287961 (9780)                    287712 (10135)                    287262 (10145)                    287141 (10132)                    286685 (10115)                    286367 (10096)                     286281 (9727)                    285897 (10080)                    285675 (10067)                    285575 (10050)                    285611 (10034)                    285460 (10034)                    285438 (10028)                    285724 (10067)                    285976 (10056)                    286345 (10079)                    286584 (10099)                    286893 (10110)                    287263 (10129)
                  Multiplicity                         3.6 (3.5)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.5)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.5)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)                         3.6 (3.6)
              Completeness (%)                     93.11 (88.43)                     93.32 (88.63)                     93.44 (88.78)                     93.47 (88.78)                     93.53 (88.84)                     93.61 (88.93)                     93.54 (88.96)                     93.57 (89.02)                     93.45 (88.76)                     93.56 (88.92)                     93.54 (88.88)                     93.53 (88.98)                     93.56 (88.90)                     93.28 (88.51)                     93.49 (88.65)                     93.44 (88.53)                     93.39 (88.34)                     93.33 (88.37)                     93.25 (88.34)                     93.10 (88.38)                     93.05 (88.29)                     92.91 (88.13)                     92.80 (87.97)                     92.78 (87.89)                     92.66 (87.84)                     92.59 (87.72)                     92.55 (87.57)                     92.56 (87.43)                     92.52 (87.42)                     92.51 (87.37)                     92.60 (87.70)                     92.68 (87.65)                     92.80 (87.82)                     92.88 (88.00)                     92.98 (88.10)                     93.10 (88.26)
               Mean I/sigma(I)                       4.09 (2.43)                       3.98 (3.00)                       4.01 (2.98)                       4.05 (2.97)                       4.23 (3.04)                       4.20 (2.95)                       4.35 (3.04)                       4.39 (3.07)                       4.28 (3.06)                       4.26 (3.01)                       4.23 (3.05)                       4.21 (3.04)                       4.32 (3.09)                       4.32 (3.10)                       4.36 (3.15)                       4.45 (3.13)                       4.39 (3.13)                       4.40 (3.15)                       4.27 (3.10)                       4.32 (3.06)                       4.17 (3.04)                       4.29 (3.04)                       4.20 (3.03)                       4.22 (3.06)                       4.13 (3.01)                       4.50 (3.04)                       4.55 (3.04)                       4.00 (2.90)                       4.41 (2.94)                       4.17 (2.89)                       4.02 (2.87)                       3.95 (2.87)                       4.07 (2.90)                       3.96 (2.86)                       3.95 (2.79)                       3.93 (2.70)
               Wilson B-factor                              8.34                              8.59                              8.36                              8.43                              8.55                              8.56                              8.65                              8.54                              8.68                              8.50                              8.49                              8.27                              8.51                              8.55                              8.45                              8.58                              8.63                              8.59                              8.69                              8.64                              8.74                              8.68                              8.69                              8.73                              8.63                              8.37                              8.52                              8.56                              8.68                              8.67                              8.76                              8.62                              8.91                              8.92                              8.82                              8.87
