,wedge_1,wedge_2,wedge_3,wedge_4,wedge_5,wedge_6,wedge_7,wedge_8,wedge_9,wedge_10,wedge_11,wedge_12,wedge_13,wedge_14,wedge_15,wedge_16,wedge_17,wedge_18,wedge_19,wedge_20,wedge_21,wedge_22,wedge_23,wedge_24,wedge_25,wedge_26,wedge_27,wedge_28,wedge_29,wedge_30,wedge_31,wedge_32,wedge_33,wedge_34,wedge_35,wedge_36
Wavelength,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Resolution range,44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.56  - 1.1 (1.11  - 1.1),44.56  - 1.1 (1.11  - 1.1),44.57  - 1.1 (1.11  - 1.1),44.58  - 1.1 (1.11  - 1.1),44.59  - 1.1 (1.11  - 1.1),44.59  - 1.1 (1.11  - 1.1),44.58  - 1.1 (1.11  - 1.1),44.57  - 1.1 (1.11  - 1.1),44.55  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.48  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.49  - 1.1 (1.11  - 1.1),44.5  - 1.1 (1.11  - 1.1),44.51  - 1.1 (1.11  - 1.1),44.52  - 1.1 (1.11  - 1.1),44.53  - 1.1 (1.11  - 1.1),44.54  - 1.1 (1.11  - 1.1)
Space group,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1,P 1 21 1
Unit cell,67.467 42.253 69.515 90 98.92 90,67.482 42.257 69.516 90 98.94 90,67.487 42.262 69.516 90 98.95 90,67.492 42.263 69.514 90 98.96 90,67.499 42.263 69.513 90 98.97 90,67.502 42.264 69.515 90 98.96 90,67.5 42.259 69.522 90 98.97 90,67.498 42.254 69.537 90 98.97 90,67.503 42.241 69.548 90 98.97 90,67.51 42.226 69.561 90 98.97 90,67.52 42.21 69.581 90 98.96 90,67.537 42.194 69.602 90 98.97 90,67.57 42.177 69.637 90 98.97 90,67.588 42.156 69.667 90 99 90,67.607 42.139 69.701 90 99.02 90,67.626 42.125 69.729 90 99.03 90,67.643 42.123 69.744 90 99.03 90,67.643 42.124 69.744 90 99.03 90,67.629 42.135 69.732 90 99.03 90,67.609 42.153 69.713 90 99.02 90,67.576 42.173 69.682 90 99.02 90,67.546 42.192 69.65 90 99.01 90,67.528 42.209 69.613 90 98.99 90,67.517 42.226 69.585 90 98.99 90,67.509 42.24 69.564 90 98.99 90,67.517 42.25 69.543 90 98.98 90,67.51 42.257 69.523 90 98.98 90,67.497 42.264 69.507 90 98.97 90,67.486 42.27 69.498 90 98.97 90,67.485 42.27 69.497 90 98.96 90,67.483 42.258 69.514 90 98.96 90,67.489 42.242 69.537 90 98.96 90,67.499 42.225 69.566 90 98.96 90,67.5 42.207 69.595 90 98.96 90,67.506 42.19 69.616 90 98.95 90,67.507 42.179 69.635 90 98.95 90
Total reflections,546939 (20402),545552 (20438),544044 (20367),545429 (20362),547725 (19755),542483 (20402),542237 (20371),544872 (19834),547004 (19798),547313 (20533),550031 (20510),552330 (20622),553011 (19797),554704 (20557),556760 (19820),558706 (20644),555657 (20655),553240 (20685),552158 (20619),548571 (20633),548862 (20577),549535 (20595),550269 (20616),548887 (20556),549344 (20600),548420 (20628),547788 (20660),547812 (20664),547483 (20602),547637 (20598),545990 (20615),543906 (20631),544662 (20534),544573 (20558),546160 (20631),547113 (20624)
Unique reflections,288004 (10255),288235 (10301),288515 (10339),289014 (10350),289292 (10027),289275 (10399),289290 (10379),289495 (10050),289633 (10005),289659 (10365),290056 (10356),290211 (10385),290493 (9965),290639 (10344),290708 (9966),290698 (10345),290110 (10364),289480 (10328),288713 (10263),288014 (10282),287476 (10221),287048 (10220),286535 (10189),286063 (10161),285604 (10148),285257 (10123),284922 (10134),284426 (10127),284539 (10130),284684 (10138),284819 (10168),284894 (10172),285437 (10141),285896 (10194),286265 (10247),286898 (10274)
Multiplicity,3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.7 (3.9),3.7 (3.8),3.7 (3.8),3.7 (3.8),3.7 (3.9),3.7 (3.8),3.7 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8),3.6 (3.8)
Completeness (%),93.49 (89.56),93.54 (89.76),93.61 (89.84),93.77 (90.01),93.84 (89.91),93.83 (90.16),93.85 (90.28),93.90 (90.28),93.97 (90.30),93.98 (90.33),94.10 (90.41),94.15 (90.42),94.18 (90.27),94.21 (90.31),94.20 (90.25),94.16 (90.34),93.93 (90.22),93.72 (89.89),93.49 (89.62),93.28 (89.56),93.15 (89.21),93.05 (89.02),92.93 (88.80),92.79 (88.59),92.64 (88.44),92.51 (88.23),92.42 (88.18),92.27 (87.93),92.32 (88.03),92.38 (88.09),92.43 (88.48),92.46 (88.58),92.63 (88.71),92.77 (88.98),92.89 (89.24),93.09 (89.44)
Mean I/sigma(I),7.13 (1.66),7.03 (1.57),7.00 (1.50),6.97 (1.55),6.78 (1.46),6.50 (1.40),6.17 (1.32),6.14 (1.27),5.98 (1.15),5.81 (1.08),5.78 (0.97),5.72 (0.92),5.79 (0.91),5.68 (0.84),5.74 (0.82),5.65 (0.77),5.58 (0.76),5.45 (0.73),5.48 (0.75),5.56 (0.85),5.52 (0.84),5.86 (0.97),6.01 (1.05),6.08 (1.07),5.96 (1.08),6.05 (1.11),5.96 (1.14),5.87 (1.09),5.84 (1.11),5.76 (1.07),5.57 (1.06),5.50 (1.04),5.54 (1.02),5.22 (0.95),5.17 (0.89),5.24 (0.91)
Wilson B-factor,9.04,9.05,9.15,9.05,9.12,9.14,9.19,9.26,9.30,9.39,9.57,9.71,9.79,10.01,10.04,10.17,10.29,10.27,10.22,10.00,9.94,9.68,9.52,9.44,9.43,9.38,9.32,9.32,9.22,9.34,9.33,9.39,9.30,9.47,9.44,9.49
