RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
1.0,180.0,0.22591109247216465,99999.99996999998,0.9387508254695296,0.980734320608139,0.9902830926718047,0.9940303170690473,0.980734320608139
2.0,180.8949999999,0.6773549932511644,99999.99996999998,0.8273646469639591,0.9433400389168636,0.9711474939048943,0.9822074974548288,0.9433400389168636
3.0,181.7899999998,1.1274796093412451,99999.99996999998,0.7294640426485878,0.9074746476231256,0.9524359681440563,0.9705592327873273,0.9074746476231256
4.0,182.68499999969998,1.502302069847234,99999.99996999998,0.6568414038501056,0.8786519656519471,0.9371301236237404,0.9609651056310999,0.8786519656519471
5.0,183.5799999996,1.7531348014034398,99999.99996999998,0.6123260151589163,0.8598768141605443,0.9270250121827416,0.9545977038522068,0.8598768141605443
6.0,184.4749999995,2.030909430290752,99999.99996999998,0.5665409231008471,0.839552809007492,0.9159616114285329,0.9475956005638281,0.839552809007492
7.0,185.3699999994,2.369255448985585,99999.99996999998,0.5153710775151995,0.8154447662038833,0.9026639362525714,0.9391359675029715,0.8154447662038833
8.0,186.2649999993,2.7093321183790446,103999.99996879998,0.46859593156732926,0.7919109667267699,0.8894927738749706,0.9307091655666401,0.7919109667267699
9.0,187.15999999919998,3.0493818504661436,99999.99996999998,0.42606931499933387,0.7690581384628606,0.8765148181821274,0.9223586352570707,0.7690581384628606
10.0,188.0549999991,3.215959855070467,103999.99996879998,0.4066679497544964,0.7581052176992243,0.8702266591868945,0.9182953962776385,0.7581052176992243
11.0,188.949999999,3.3268552407254943,103999.99996879998,0.3942443109661332,0.7509001972825623,0.8660654978985345,0.9156003200785219,0.7509001972825623
12.0,189.84499999890002,3.6937977712026258,99999.99996999998,0.3557783603994006,0.7275440548935634,0.8524379269440443,0.9067388233403184,0.7275440548935634
13.0,190.73999999880002,3.9155995156048555,99999.99996999998,0.33437143865650676,0.7137799611921488,0.8443048153114552,0.9014240529741149,0.7137799611921488
14.0,191.6349999987,3.8949959082027257,103999.99996879998,0.336304474948358,0.7150474880754338,0.8450570355636366,0.9019164373218026,0.7150474880754338
15.0,192.5299999986,4.062185613169671,99999.99996999998,0.320935684744039,0.7048266590382793,0.8389723741697388,0.8979286938932818,0.7048266590382793
16.0,193.4249999985,4.083730180219923,103999.99996879998,0.31900699324838516,0.7035202429150184,0.838191479720788,0.8974161053714428,0.7035202429150184
17.0,194.3199999984,4.454326065326521,99999.99996999998,0.28758775569699624,0.6814234074070217,0.8248722441692284,0.8886445510998672,0.6814234074070217
18.0,195.2149999983,4.492280166526377,103999.99996879998,0.2845500860702024,0.6791999414403191,0.8235201768212554,0.8877510777148889,0.6791999414403191
19.0,196.1099999982,4.693402469980291,99999.99996999998,0.2689806584714211,0.6675381101989525,0.8163923476265306,0.8830314506387766,0.6675381101989525
20.0,197.0049999981,4.533692684268877,107999.99996759997,0.28127221346345366,0.6767821470262214,0.8220474359070297,0.8867772149322078,0.6767821470262214
21.0,197.899999998,4.766692705499371,107999.99996759997,0.2635213530902447,0.6633384254966195,0.813810286931742,0.8813178335043184,0.6633384254966195
22.0,198.7949999979,4.828090909330053,111999.99996639998,0.2590332594693016,0.6598405247654143,0.8116534773424807,0.8798848270285143,0.6598405247654143
23.0,199.6899999978,4.900736114965612,105999.99996819998,0.2538216512433187,0.6557256891041747,0.8091089620455281,0.878192329652645,0.6557256891041747
24.0,200.58499999769998,4.96520429600467,111999.99996639998,0.249284549192728,0.6520955194697315,0.8068575416704561,0.8766930683858966,0.6520955194697315
25.0,201.4799999976,4.992412695070666,107999.99996759997,0.24739411470913117,0.650569465924187,0.8059092245173406,0.8760610827260356,0.650569465924187
26.0,202.3749999975,4.925091791714003,107999.99996759997,0.2520979370775759,0.6543518644993833,0.8082576520407821,0.8776256169859247,0.6543518644993833
27.0,203.26999999740002,5.104960374915682,107999.99996759997,0.23972542006210296,0.644294785229476,0.8019983321097846,0.8734517071326895,0.644294785229476
28.0,204.16499999730001,5.235612134284768,107999.99996759997,0.23112080908559654,0.6370866429758503,0.7974821426474452,0.8704323416680151,0.6370866429758503
29.0,205.0599999972,5.058686429658208,111999.99996639998,0.24284919814281114,0.6468672589503077,0.8036039916855076,0.8745236089795829,0.6468672589503077
30.0,205.9549999971,5.033366866174139,103999.99996879998,0.24457562137831967,0.648279175922421,0.8044839154735984,0.8751106747073113,0.648279175922421
31.0,206.849999997,5.4482463248702,99999.99996999998,0.21777228652336006,0.6255274941665546,0.7901864087433377,0.8655406602456627,0.6255274941665546
32.0,207.74499999690002,5.185624571167558,113999.99996579997,0.23437585179867212,0.639834915249575,0.7992070321509195,0.8715863207992269,0.639834915249575
33.0,208.63999999680001,5.2233086845223475,111999.99996639998,0.23191775503773834,0.637761978695232,0.7979063443875147,0.8707162289761499,0.637761978695232
34.0,209.5349999967,5.177540552692542,115999.99996519997,0.23490654877647069,0.6402804798124142,0.7994863325571262,0.8717730866519328,0.6402804798124142
35.0,210.4299999966,5.32793226750279,117999.99996459998,0.22522757046654862,0.6320419584879713,0.7943062903746627,0.868305116484255,0.6320419584879713
36.0,211.3249999965,5.177999836998994,117999.99996459998,0.2348763656614847,0.6402551572577346,0.7994704618076335,0.8717624746904395,0.6402551572577346
37.0,212.2199999964,5.367014938895693,115999.99996519997,0.22277823208542535,0.6299184021513476,0.7929656429546565,0.8674061470332013,0.6299184021513476
38.0,213.11499999629999,5.418068644891472,119999.99996399997,0.21961874001280934,0.6271551437253405,0.7912177627714876,0.8662332248016702,0.6271551437253405
39.0,214.0099999962,5.119807531815476,121999.99996339997,0.23873168430732286,0.6434715678040106,0.801483830760243,0.8731080621603368,0.6434715678040106
40.0,214.9049999961,5.0704350813853445,119999.99996399997,0.24205225679300968,0.6462131534994153,0.803196021008671,0.8742513355897248,0.6462131534994153
41.0,215.799999996,5.13046403415224,123999.99996279996,0.23802097382507478,0.6428813544468702,0.8011147524418274,0.8728614953605495,0.6428813544468702
42.0,216.69499999590002,5.058090877412109,125999.99996219997,0.24288966578986765,0.6469004339105562,0.8036246776911811,0.8745374130789931,0.6469004339105562
43.0,217.58999999579999,5.281974374682926,121999.99996339997,0.22814225780239086,0.6345482403232319,0.7958856776060029,0.8693634200063769,0.6345482403232319
44.0,218.4849999957,5.111610767386642,123999.99996279996,0.23927979190460913,0.6439259165505923,0.8017678339715499,0.8732977637076723,0.6439259165505923
45.0,219.37999999559997,4.945462353098551,129999.99996099996,0.2506652526840783,0.653205037981973,0.8075463226657007,0.8771519116234043,0.653205037981973
46.0,220.27499999550002,4.891561242558405,129999.99996099996,0.25447403246491057,0.6562439614566815,0.809429886090417,0.8784059072631832,0.6562439614566815
47.0,221.16999999540002,4.894692726752298,135999.99995919998,0.25425117935840014,0.6560670234103014,0.8093203369015006,0.8783330050530855,0.6560670234103014
48.0,222.0649999953,4.7682903635904506,137999.99995859998,0.2634035876591396,0.6632471711914858,0.8137540914859152,0.8812805153246108,0.6632471711914858
49.0,222.9599999952,4.966156295922406,133999.99995979996,0.24921816118021692,0.6520420637029305,0.8068243419875252,0.8766709480228749,0.6520420637029305
50.0,223.8549999951,4.7275050922113495,139999.99995799997,0.26642646459548913,0.6655806607827763,0.8151898734410727,0.8822336746963343,0.6655806607827763
51.0,224.749999995,4.831363688885789,147999.99995559995,0.25879618286520506,0.6596545907793108,0.8115386710246614,0.8798085072692288,0.6596545907793108
52.0,225.6449999949,5.2079952170679995,147999.99995559995,0.23291351221180828,0.6386035342295955,0.7984346415647654,0.8710696981630919,0.6386035342295955
53.0,226.5399999948,5.604211969713641,133999.99995979996,0.20847393797774058,0.6171824921164757,0.7848775082555304,0.8619701330451529,0.6171824921164757
54.0,227.4349999947,5.256120924472388,137999.99995859998,0.22979845140537936,0.6359625057172761,0.7967755361394486,0.8699593317163838,0.6359625057172761
55.0,228.3299999946,5.2580912430778355,139999.99995799997,0.2296718090180268,0.6358546121963867,0.7967076840767674,0.8699139022835403,0.6358546121963867
56.0,229.2249999945,5.243788679671367,135999.99995919998,0.2305926953361076,0.6366382284162263,0.7972003542049318,0.8702437289129705,0.6366382284162263
57.0,230.11999999440002,5.217953619493225,139999.99995799997,0.23226548279245096,0.6380561414945538,0.7980910482709036,0.870839819579939,0.6380561414945538
58.0,231.01499999429998,5.50806267398231,135999.99995919998,0.21415811487899947,0.6223137410016419,0.7881460935558817,0.8641695372743998,0.6223137410016419
59.0,231.9099999942,5.318860611716552,131999.99996039996,0.2257999374777901,0.6325358895665073,0.7946177980906396,0.8685139135444421,0.6325358895665073
60.0,232.8049999941,5.236592400576576,131999.99996039996,0.23105743104684826,0.6370328669781108,0.797448354457018,0.8704097271835463,0.6370328669781108
61.0,233.69999999400002,5.522841773205778,127999.99996159997,0.21327442442852088,0.6215222513004273,0.7876427956932878,0.8638311024008447,0.6215222513004273
62.0,234.5949999939,5.699751998723241,123999.99996279996,0.20297522651784144,0.612125667101794,0.7816430618776151,0.8597902103786914,0.612125667101794
63.0,235.4899999938,5.770808425154244,123999.99996279996,0.198979903750818,0.6083916166344465,0.7792461382391306,0.858172502066753,0.6083916166344465
64.0,236.38499999369998,5.479463790232344,139999.99995799997,0.21587854676133114,0.6238482081373539,0.7891209335839018,0.8648248157251643,0.6238482081373539
65.0,237.2799999936,5.740571882978901,123999.99996279996,0.2006703245765852,0.6099777697155133,0.7802651981106592,0.8588605108711196,0.6099777697155133
66.0,238.1749999935,5.449693042934205,119999.99996399997,0.2176841585351785,0.6254495708383567,0.7901369994117233,0.8655074726112246,0.6254495708383567
67.0,239.06999999340002,5.608522029107134,115999.99996519997,0.20822269818193367,0.6169534683781842,0.7847313060970592,0.8618716721198665,0.6169534683781842
68.0,239.96499999330004,5.494198515452929,119999.99996399997,0.2149904262857166,0.6230571476076544,0.788618525734523,0.8644871409419062,0.6230571476076544
69.0,240.8599999932,5.707661018891332,119999.99996399997,0.20252658388742795,0.611708913243813,0.7813759052030955,0.8596099987107348,0.611708913243813
70.0,241.75499999309997,5.665124260691826,115999.99996519997,0.20495123058830755,0.6139536688925219,0.7828138188202567,0.8605796686379183,0.6139536688925219
71.0,242.649999993,5.479007669842543,115999.99996519997,0.21590609741544015,0.6238727118102194,0.7891364909628259,0.8648352707122393,0.6238727118102194
