RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
1.0,150.0,0.17711564748467204,115999.999652,0.9516544791941043,0.9848639173101632,0.9923738604638803,0.9953167081517509,0.9848639173101632
2.0,150.8949999999,0.5211164946682287,115999.999652,0.8643327205683864,0.9561175228367449,0.9777278526373921,0.9862832147842143,0.9561175228367449
3.0,151.78999999980002,0.8343209660680654,115999.999652,0.791816545492545,0.9306750089978659,0.9645810926798178,0.9781297630635847,0.9306750089978659
4.0,152.6849999997,1.167998729778341,109999.99967,0.7212412415301821,0.9043138164399063,0.9507693939492302,0.9695174861158902,0.9043138164399063
5.0,153.5799999996,1.5120534426252228,99999.9997,0.6550518316799366,0.8779144613570936,0.9367352271684349,0.960716774880308,0.8779144613570936
6.0,154.4749999995,1.7021990292026532,111999.999664,0.6211146015306916,0.863656678105342,0.9290681685067436,0.9558872880675601,0.863656678105342
7.0,155.3699999994,1.9641306801985503,107999.999676,0.5772252740635373,0.8443945308749774,0.9186092065213559,0.9492742459271377,0.8443945308749774
8.0,156.2649999993,2.1868476530915673,109999.99967,0.5423551605176247,0.8283545061109594,0.9098087633203544,0.9436872662994517,0.8283545061109594
9.0,157.15999999919998,2.3419521950949114,111999.999664,0.5193230098325563,0.8173642472982658,0.9037298102812419,0.939815817772985,0.8173642472982658
10.0,158.0549999991,2.6380566349779433,103999.999688,0.4780341783596792,0.7967864113640684,0.8922372586781886,0.9324690237971731,0.7967864113640684
11.0,158.94999999900003,2.7281792888431307,103999.999688,0.466131507853933,0.7906267616627393,0.8887684700146099,0.930244366841424,0.7906267616627393
12.0,159.84499999890002,2.8416579333725234,107999.999676,0.4515647844706943,0.7829384730495581,0.8844198922268651,0.92745072006117,0.7829384730495581
13.0,160.73999999880002,3.048265580001552,103999.999688,0.42620240111243696,0.7691320672731976,0.8765571092129527,0.9223859243387851,0.7691320672731976
14.0,161.6349999987,3.0829902258763764,115999.999652,0.42208179577367666,0.7668356340171743,0.8752424860878768,0.9215374007843247,0.7668356340171743
15.0,162.5299999986,3.2640892737693883,103999.999688,0.4012286241684863,0.7549697330526677,0.8684182343998681,0.9171247402672328,0.7549697330526677
16.0,163.4249999985,3.304325260117708,103999.999688,0.39673724606514427,0.7523584360194318,0.8669092835352281,0.9161472222808246,0.7523584360194318
17.0,164.31999999840002,3.510652558402244,101999.999694,0.3744836531186744,0.7391091242056844,0.8592125868808562,0.9111509249813552,0.7391091242056844
18.0,165.21499999830002,3.498662059501421,103999.999688,0.3757420395140583,0.7398726685857133,0.859657996431348,0.9114405324982877,0.7398726685857133
19.0,166.1099999982,3.797318438925944,99999.9997,0.3456217735508305,0.7210872702250894,0.8486322871291073,0.9042543927653272,0.7210872702250894
20.0,167.0049999981,3.858103587240322,103999.999688,0.3397936849729507,0.7173227171774696,0.8464056176963664,0.902798760867834,0.7173227171774696
21.0,167.899999998,3.964503781250431,99999.9997,0.32982759436454073,0.7107803760699695,0.8425220417324093,0.900256416369254,0.7107803760699695
22.0,168.7949999979,3.941255226021303,107999.999676,0.33197993684724764,0.7122047710463502,0.8433690829789724,0.9008113093727395,0.7122047710463502
23.0,169.68999999780002,4.081399156107398,99999.9997,0.31921510846017426,0.7036614742911268,0.8382759338685486,0.8974715509968338,0.7036614742911268
24.0,170.5849999977,4.224754052968154,99999.9997,0.3066654752231822,0.6950284550714027,0.8330979123955871,0.8940680829292862,0.6950284550714027
25.0,171.4799999976,4.391104373206116,99999.9997,0.29271989366217244,0.6851432976030091,0.8271293681452352,0.8901348430424268,0.6851432976030091
26.0,172.37499999750003,4.255033769285416,99999.9997,0.304078491921973,0.693218563540708,0.8320082981247082,0.8933508480821234,0.693218563540708
27.0,173.2699999974,4.3396825378306385,99999.9997,0.29696162182034025,0.6881838683811748,0.828969770702887,0.8913488260326189,0.6881838683811748
28.0,174.16499999730001,4.334546679433322,99999.9997,0.2973886343864452,0.6884882916228595,0.829153809351961,0.8914701659072868,0.6884882916228595
29.0,175.0599999972,4.395104156603338,99999.9997,0.2923925070125754,0.6849073544737285,0.8269863861107944,0.8900404842226498,0.6849073544737285
30.0,175.9549999971,4.494404906680163,99999.9997,0.28438098330909817,0.679075682406272,0.8234445511530039,0.8877010859981975,0.679075682406272
31.0,176.84999999700003,4.423101183464379,99999.9997,0.29011114826944023,0.6832581117747847,0.8259862557101926,0.8893802868380994,0.6832581117747847
32.0,177.74499999690002,4.167990139117123,99999.9997,0.3115746173384172,0.6984341129406593,0.8351444058035252,0.8954142002208858,0.6984341129406593
33.0,178.63999999680001,4.48652885067849,99999.9997,0.2850083235719191,0.679536403922667,0.8237249176897536,0.8878864110464327,0.679536403922667
34.0,179.5349999967,4.8159475558818245,99999.9997,0.25991481028990404,0.6605308741578919,0.8120795977808549,0.8801680624728347,0.6605308741578919
35.0,180.4299999966,5.15513830939306,99999.9997,0.23638349126544406,0.6415168398991362,0.8002608334576413,0.8722908569699218,0.6415168398991362
36.0,181.3249999965,5.502949351743294,99999.9997,0.21446470885431557,0.6225878178859974,0.7883203011087443,0.8642866609761364,0.6225878178859974
37.0,182.21999999640002,5.858239022275222,99999.9997,0.19417165391160982,0.6038283371996098,0.7763069536085758,0.8561861867444628,0.6038283371996098
38.0,183.1149999963,5.6130912190899185,99999.9997,0.2079566839006476,0.616710768014257,0.784576343670536,0.8617673037810136,0.616710768014257
39.0,184.0099999962,5.514201250138019,99999.9997,0.2137906257224452,0.6219848693068448,0.7879370071198778,0.8640289504835055,0.6219848693068448
40.0,184.9049999961,5.576255493561051,99999.9997,0.21011093912360787,0.6186700816967018,0.7858264855595074,0.8626090564534664,0.6186700816967018
41.0,185.799999996,5.611216294996325,99999.9997,0.2080657992171758,0.6168103462710078,0.7846399273409543,0.8618101288172062,0.6168103462710078
42.0,186.6949999959,5.595389297833831,99999.9997,0.20898917047191243,0.6176515678315054,0.7851768683576998,0.8621717171893406,0.6176515678315054
43.0,187.5899999958,5.675369853517826,99999.9997,0.2043645785973374,0.6134122350960747,0.7824672348154128,0.8603460096698821,0.6134122350960747
44.0,188.4849999957,5.393607487981029,99999.9997,0.22112690398573634,0.6284775767911359,0.7920547363014343,0.8667950042728045,0.6284775767911359
45.0,189.37999999560003,5.546180596739867,99999.9997,0.2118863401623254,0.6202743979767625,0.7868486533888535,0.8632969235030894,0.6202743979767625
46.0,190.27499999550002,5.679000961741728,99999.9997,0.20415706838976158,0.6132204618723278,0.7823444399035382,0.8602632145595359,0.6132204618723278
47.0,191.16999999540002,5.625456897888178,107999.999676,0.20723846796510204,0.6160544224939692,0.7841571195968958,0.8614849133000334,0.6160544224939692
48.0,192.0649999953,5.466263199824383,99999.9997,0.2166773140991676,0.6245577587627239,0.7895713040670769,0.8651274448484442,0.6245577587627239
49.0,192.9599999952,5.457386727041729,103999.999688,0.2172160904024057,0.6250353356091405,0.7898742912054795,0.8653310012891542,0.6250353356091405
50.0,193.8549999951,5.56797995013308,99999.9997,0.21059797760859653,0.6191111182933569,0.7861076173479447,0.8627982783582527,0.6191111182933569
51.0,194.74999999500002,5.699397478300705,103999.999688,0.2029953601005006,0.6121443546667725,0.781655039266775,0.8597982892193015,0.6121443546667725
52.0,195.64499999490002,5.6454831764527675,101999.999694,0.20608057140683883,0.6149929490027268,0.7834786592115391,0.8610277767751406,0.6149929490027268
53.0,196.5399999948,5.803617014008681,103999.999688,0.1971617931696812,0.6066752041428262,0.7781418983927634,0.8574265918054786,0.6066752041428262
54.0,197.4349999947,5.800490720236041,103999.999688,0.1973343204284023,0.6068385502272207,0.7782470526901419,0.8574976408058768,0.6068385502272207
55.0,198.3299999946,5.56949625735519,115999.999652,0.21050865435927202,0.6190302847360225,0.7860560987453875,0.8627636045940126,0.6190302847360225
56.0,199.2249999945,5.776884815865346,103999.999688,0.19864191594634478,0.6080733584853807,0.7790415067720214,0.8580343050843415,0.6080733584853807
57.0,200.11999999440002,5.823192716890213,107999.999676,0.1960849149088989,0.6056533901330948,0.7774837837631091,0.8569818428883138,0.6056533901330948
58.0,201.0149999943,5.511600662684075,103999.999688,0.21394623423657788,0.622124173487528,0.7880255791231718,0.8640885068193099,0.622124173487528
59.0,201.9099999942,5.660760328343327,99999.9997,0.20520161594149955,0.6141844283185633,0.7829614868734727,0.8606792108877271,0.6141844283185633
